worker_id,session_duration,tasks_completed_session,quality_session,total_reward,throughput,
A10QCFQMBPB6IB,95,9,0.888888889,0.33,5.684210526,5
A122PMN7S5SU33,155,3,1,0.1,1.161290323,5
A12M78R4SVDCV7,106,9,0.555555556,0.28,5.094339623,3
A12W7ZB2DLBBY5,214,8,0.5,0.28,2.242990654,5
A14BSOU2Y5JNT0,95,9,0.666666667,0.32,5.684210526,4
A14JC769A8FXN1,125,7,0.428571429,0.18,3.36,5
A14JGIN4ZXXLGD,91,6,0.166666667,0.14,3.956043956,4
A171NRH2G227NA,46,4,0.25,0.155,5.217391304,4
A17MKHO0INIV0D,193,8,0.375,0.265,2.487046632,5
A1A3S0HSZZGZ43,45,8,0.25,0.265,10.66666667,5
A1AYYEZDTP7VL,307,9,0.444444444,0.265,1.758957655,4
A1BMJX36PG4EMH,22,2,1,0.07,5.454545455,4
A1CZ2GB5LZ9O5H,65,9,0.555555556,0.235,8.307692308,5
A1EJ0659YRDUOR,101,8,0.625,0.225,4.752475248,5
A1EK0G6HYJ60O1,87,9,0.666666667,0.25,6.206896552,3
A1H0QGA8A42RDD,182,9,0.555555556,0.28,2.967032967,3
A1I23EV4D72JBL,150,8,1,0.19,3.2,5
A1IH7F19OWLD3A,283,9,0.333333333,0.26,1.908127208,5
A1KBDN6C1Q0D4U,106,7,0.857142857,0.225,3.962264151,5
A1LUWOV426JV1N,90,8,0.5,0.25,5.333333333,3
A1M6A01CROTF3K,116,7,0.857142857,0.22,3.620689655,5
A1NYHBSW9EIQX9,188,7,0.714285714,0.225,2.234042553,4
A1OSESE6RG3NFB,45,9,0.666666667,0.22,12,5
A1OSYT1HAG3ZQM,46,3,0.333333333,0.1,3.913043478,5
A1OWHPMKE7YAGL,96,8,0.75,0.24,5,4
A1QC6WNXRWWPCC,46,9,0.777777778,0.26,11.73913043,5
A1QGQCC33OBPKM,191,8,0.875,0.24,2.513089005,4
A1VA5PON4OHGYA,96,9,0.888888889,0.275,5.625,4
A1XLQVD1R2V8CL,72,3,0,0.13,2.5,5
A1YJZESXJDG0XM,85,9,0.777777778,0.3,6.352941176,5
A1YTKIM7NU5MGV,218,9,0.666666667,0.325,2.47706422,3
A1ZQU2A5A8EIHL,83,7,0.285714286,0.26,5.060240964,5
A21U899S9P4XSC,117,8,0.5,0.225,4.102564103,5
A23FMK3IDMUAXQ,77,9,0.888888889,0.31,7.012987013,3
A247TCDIBB07JC,98,9,1,0.285,5.510204082,3
A24A03BCD4TKWL,83,9,0.888888889,0.315,6.506024096,5
A24JNJIJ6SKKVZ,107,9,0.444444444,0.26,5.046728972,5
A25VNYKP7SASYC,100,8,0.75,0.265,4.8,5
A267H808C339ZQ,69,9,0.666666667,0.265,7.826086957,5
A27TYK7FQNPG8J,41,9,0.666666667,0.27,13.17073171,5
A2880Y23V0UITQ,64,7,1,0.165,6.5625,4
A28JGET2XTPRG5,112,9,0.777777778,0.275,4.821428571,5
A2AI4HOWRCG7KZ,137,9,0.888888889,0.32,3.941605839,5
A2AJIKFMHK85XN,10,2,0,0.07,12,5
A2APG8MSLJ6G2K,103,8,0.25,0.225,4.660194175,5
A2C8QIT0DJRCHN,139,8,0.375,0.24,3.45323741,5
A2CAMPAA7650H2,76,9,0.555555556,0.34,7.105263158,4
A2DQ9P2NT6QN0U,57,8,0.625,0.335,8.421052632,5
A2HG1N3BVQO6I,38,3,1,0.08,4.736842105,4
A2HJ05IDCIY01V,91,9,0.555555556,0.265,5.934065934,5
A2IQFNKKQ4VU1U,108,6,0.5,0.19,3.333333333,5
A2IRIBEI9NTIW8,56,9,0.444444444,0.27,9.642857143,5
A2J6S7QR4CGXTW,116,8,0.625,0.255,4.137931034,5
A2JZT1SP5F3PR1,72,8,0.5,0.295,6.666666667,4
A2K6GAHX04JMQJ,183,7,0.285714286,0.235,2.295081967,5
A2K9GHFRY094XA,85,8,0.75,0.305,5.647058824,5
A2N10QFJ8OCU2T,27,3,0.333333333,0.07,6.666666667,4
A2N962G55T9MOB,66,9,0.666666667,0.305,8.181818182,5
A2RLY2I4U06ETD,46,8,0.375,0.22,10.43478261,4
A2UVJMJV1EOH9X,30,2,1,0.07,4,5
A2VEUYSAOYJJDC,76,8,0.625,0.24,6.315789474,4
A2WP04RFZ9STGJ,91,9,0.444444444,0.27,5.934065934,2
A2YE2I9DYV9OKW,104,9,0.777777778,0.33,5.192307692,3
A304JFG8AJM7U6,68,9,0.777777778,0.26,7.941176471,5
A306XHZ4SSZN23,86,7,0.285714286,0.25,4.88372093,4
A30DEG9REA9V2N,291,9,0.777777778,0.28,1.855670103,3
A31EUQA8YR9SPI,147,8,0.75,0.315,3.265306122,4
A333JTLOVOOWS,145,8,0.375,0.295,3.310344828,4
A334GA484JTNIM,130,9,0.555555556,0.25,4.153846154,4
A33LPSMA0N618I,64,8,0.875,0.27,7.5,5
A356EVHB3TU90R,48,7,0.571428571,0.2,8.75,5
A35IT4GHURUWK7,92,9,0.555555556,0.22,5.869565217,5
A37O5SYY9VWSPY,78,7,0.714285714,0.31,5.384615385,5
A38CJGMJRTWE87,110,9,0.555555556,0.29,4.909090909,4
A3AYHESLQSDY5T,10,1,0,0.04,6,5
A3B84NGQT7Z9WE,200,8,0.25,0.265,2.4,5
A3BJZIRRQVSOT7,165,9,0.222222222,0.28,3.272727273,4
A3DTPGXKABAFEJ,270,7,0.571428571,0.21,1.555555556,4
A3DZGDF9HCTAOB,128,7,0.285714286,0.18,3.28125,3
A3E9N7HDRLT8KV,128,9,0.888888889,0.295,4.21875,5
A3G5ZPURJ0XCBG,36,2,0,0.04,3.333333333,5
A3GTPW3MYSLMR7,73,9,0.777777778,0.28,7.397260274,4
A3HC8FUORPCNN1,152,9,0.444444444,0.37,3.552631579,4
A3HH7T31PFH49C,170,8,0.625,0.205,2.823529412,5
A3JNSAQ0BJ33ZM,64,9,0.777777778,0.29,8.4375,4
A3P86OK72F8M99,76,8,0.625,0.195,6.315789474,5
A3QTW23DMB8PHI,10,1,1,0.04,6,5
A3RAL81XKTKNMS,18,4,0.75,0.135,13.33333333,3
A3SBNJPZS7E2AX,92,7,0.571428571,0.235,4.565217391,4
A3SLY0SJLJZ0J1,391,9,0.444444444,0.285,1.381074169,5
A3SWYPKNAPAQKI,156,9,0.888888889,0.34,3.461538462,5
A3UNKB1RRNN2FT,103,9,0.666666667,0.275,5.242718447,5
A3VLGVKJOHU58D,55,8,1,0.25,8.727272727,5
A5FUU339LEP25,55,9,0.888888889,0.37,9.818181818,5
A8289AEOKHKV4,47,7,0.285714286,0.21,8.936170213,5
A843DU1CYIR9Z,59,9,0.666666667,0.26,9.152542373,4
A9UBOMDU3AJYF,199,9,0.333333333,0.235,2.713567839,5
AAABU3NPTCTAR,101,7,0.714285714,0.21,4.158415842,5
AAXILKN9M4YW1,123,9,0.666666667,0.335,4.390243902,5
AI01TBF4CXKXI,88,8,0.625,0.235,5.454545455,5
AKLKDS34ZAGML,74,8,0.875,0.22,6.486486486,4
AL4A0AKTQGE4A,58,9,0.555555556,0.22,9.310344828,4
AMHZ8D856PO3F,301,8,0.625,0.21,1.594684385,5
AOEO9ZV81R0I4,82,9,0.777777778,0.285,6.585365854,5
AOGEGRPMKRKY,138,9,0.777777778,0.295,3.913043478,4
AOY5CF0UQUMO2,248,8,0.75,0.255,1.935483871,5
APF1EAZT104LQ,23,3,0.666666667,0.09,7.826086957,5
AS11VPZ1QAEQB,112,9,0.888888889,0.27,4.821428571,5
ASG1PXG3EUYN8,244,9,0.888888889,0.3,2.213114754,5
ASW8M4F98R3R6,153,8,0.5,0.25,3.137254902,4
AXID3RPK6NZT6,56,8,0.75,0.23,8.571428571,3
AXKHNWMKGT751,124,7,0.857142857,0.26,3.387096774,5
AYDIZBR38B0TY,73,9,0.555555556,0.275,7.397260274,5
AZI9VZ55E3TP2,121,8,0.625,0.235,3.966942149,4